Alabama,2000,2551713,0.0463
Alabama,2001,2656393,0.052
Alabama,2002,2720735,0.0592
Alabama,2003,2817111,0.0597
Alabama,2004,2875595,0.0559
Alabama,2005,3053380,0.0444
Alabama,2006,3326656,0.04
Alabama,2007,3653466,0.0406
Alabama,2008,3947003,0.0585
Alabama,2009,3836398,0.101
Alabama,2010,3900492,0.1039
Alabama,2011,3844055,0.0958
Alabama,2012,3695221,0.0816
Alabama,2013,3747993,0.0733
Alabama,2014,3824295,0.0675
Alabama,2015,3817479,0.0613
Alabama,2016,3865453,0.0587
Alaska,2000,717725,0.0625
Alaska,2001,701053,0.0622
Alaska,2002,747223,0.0712
Alaska,2003,763525,0.0762
Alaska,2004,775069,0.0737
Alaska,2005,829666,0.0689
Alaska,2006,871434,0.0656
Alaska,2007,927307,0.0621
Alaska,2008,1113396,0.064
Alaska,2009,1129756,0.0792
Alaska,2010,1151630,0.0814
Alaska,2011,1215062,0.0772
Alaska,2012,1255757,0.0718
Alaska,2013,1324649,0.0695
Alaska,2014,1346457,0.067
Alaska,2015,1484610,0.0625
Alaska,2016,1251738,0.0654
Arizona,2000,2488932,0.0397
Arizona,2001,2538936,0.0474
Arizona,2002,2659448,0.0617
Arizona,2003,2810907,0.0577
Arizona,2004,3224647,0.0499
Arizona,2005,3423716,0.0466
Arizona,2006,3733989,0.043
Arizona,2007,3977800,0.0377
Arizona,2008,4251747,0.0579
Arizona,2009,4296503,0.0967
Arizona,2010,4223152,0.103
Arizona,2011,3977772,0.0944
Arizona,2012,3917564,0.0834
Arizona,2013,3824071,0.0781
Arizona,2014,3902565,0.0681
Arizona,2015,3846357,0.0609
Arizona,2016,3872250,0.0546
Arkansas,2000,1531232,0.0418
Arkansas,2001,1616883,0.0477
Arkansas,2002,1697645,0.0532
Arkansas,2003,1768713,0.0577
Arkansas,2004,1863515,0.0559
Arkansas,2005,2118580,0.0526
Arkansas,2006,2265821,0.0524
Arkansas,2007,2337748,0.054
Arkansas,2008,2388502,0.0542
Arkansas,2009,2417974,0.0773
Arkansas,2010,2521528,0.0787
Arkansas,2011,2559292,0.0791
Arkansas,2012,2548056,0.0726
Arkansas,2013,2545564,0.0706
Arkansas,2014,2609867,0.0589
Arkansas,2015,2620399,0.0497
Arkansas,2016,2658253,0.0398
California,2000,23514388,0.0491
California,2001,26641811,0.0547
California,2002,28593157,0.0676
California,2003,29561563,0.0689
California,2004,29624968,0.0622
California,2005,31070450,0.0538
California,2006,32387671,0.0489
California,2007,34685013,0.0533
California,2008,36542347,0.0728
California,2009,35617964,0.1154
California,2010,34657275,0.1248
California,2011,34225248,0.1188
California,2012,34213049,0.1052
California,2013,34194878,0.0904
California,2014,35539425,0.0756
California,2015,38951948,0.0625
California,2016,42587272,0.055
Colorado,2000,2539372,0.0273
Colorado,2001,2709184,0.0382
Colorado,2002,2963406,0.0569
Colorado,2003,3168745,0.061
Colorado,2004,3232723,0.0558
Colorado,2005,3380399,0.0506
Colorado,2006,3562901,0.0424
Colorado,2007,3782300,0.037
Colorado,2008,4221868,0.0485
Colorado,2009,4108304,0.0788
Colorado,2010,4232076,0.0916
Colorado,2011,4204486,0.0867
Colorado,2012,4174705,0.0798
Colorado,2013,4292898,0.0674
Colorado,2014,4470568,0.0498
Colorado,2015,4578938,0.0374
Colorado,2016,4786838,0.0313
Connecticut,2000,3189123,0.0211
Connecticut,2001,3360042,0.0289
Connecticut,2002,3570517,0.0441
Connecticut,2003,3721466,0.0545
Connecticut,2004,3896977,0.0509
Connecticut,2005,4177845,0.0481
Connecticut,2006,4406855,0.0441
Connecticut,2007,4610572,0.0447
Connecticut,2008,4878853,0.0563
Connecticut,2009,5054397,0.0831
Connecticut,2010,5242817,0.0958
Connecticut,2011,5363942,0.0901
Connecticut,2012,5485615,0.0836
Connecticut,2013,5562212,0.0795
Connecticut,2014,5889381,0.0662
Connecticut,2015,6006275,0.0562
Connecticut,2016,6110631,0.0485
Delaware,2000,571982,0.0358
Delaware,2001,613955,0.0357
Delaware,2002,645895,0.0426
Delaware,2003,673997,0.0447
Delaware,2004,709545,0.043
Delaware,2005,761786,0.0451
Delaware,2006,817872,0.0389
Delaware,2007,825084,0.0362
Delaware,2008,852701,0.0501
Delaware,2009,877678,0.0836
Delaware,2010,901200,0.0867
Delaware,2011,964284,0.076
Delaware,2012,1053066,0.0706
Delaware,2013,1030897,0.0661
Delaware,2014,1050647,0.0559
Delaware,2015,1072395,0.048
Delaware,2016,1126775,0.0452
District of Columbia,2000,318260,0.057
District of Columbia,2001,412276,0.0647
District of Columbia,2002,452905,0.0698
District of Columbia,2003,473414,0.0728
District of Columbia,2004,515377,0.081
District of Columbia,2005,459063,0.0699
District of Columbia,2006,478688,0.0632
District of Columbia,2007,491992,0.0597
District of Columbia,2008,520090,0.0685
District of Columbia,2009,330698,0.1001
District of Columbia,2010,526469,0.0997
District of Columbia,2011,525185,0.1017
District of Columbia,2012,594156,0.0897
District of Columbia,2013,559940,0.0844
District of Columbia,2014,503349,0.0771
District of Columbia,2015,557345,0.0692
District of Columbia,2016,594396,0.0622
Florida,2000,7751117,0.0375
Florida,2001,8412975,0.0443
Florida,2002,8781232,0.0495
Florida,2003,9622598,0.0446
Florida,2004,10411050,0.0376
Florida,2005,11270907,0.0286
Florida,2006,12211602,0.0246
Florida,2007,13476109,0.0329
Florida,2008,14392625,0.0568
Florida,2009,13884278,0.0957
Florida,2010,13869921,0.1084
Florida,2011,14284224,0.1
Florida,2012,13558844,0.0864
Florida,2013,13833236,0.0753
Florida,2014,14542370,0.0644
Florida,2015,14931173,0.0553
Florida,2016,15212112,0.0489
Georgia,2000,5701293,0.0351
Georgia,2001,6336556,0.041
Georgia,2002,6894589,0.053
Georgia,2003,7352918,0.0515
Georgia,2004,7492703,0.0512
Georgia,2005,7886069,0.057
Georgia,2006,8583817,0.0507
Georgia,2007,9507096,0.0493
Georgia,2008,10289480,0.0675
Georgia,2009,10063924,0.1042
Georgia,2010,9841382,0.1067
Georgia,2011,9671343,0.1014
Georgia,2012,9611118,0.0904
Georgia,2013,9555687,0.0814
Georgia,2014,9635641,0.0714
Georgia,2015,10081483,0.0607
Georgia,2016,10534931,0.0545
Hawaii,2000,765134,0.0424
Hawaii,2001,732512,0.0431
Hawaii,2002,815123,0.0402
Hawaii,2003,888473,0.0391
Hawaii,2004,943647,0.033
Hawaii,2005,1007207,0.0283
Hawaii,2006,1077351,0.0253
Hawaii,2007,1177781,0.0275
Hawaii,2008,1281836,0.0402
Hawaii,2009,1402305,0.0667
Hawaii,2010,1321657,0.0684
